show,year,rating,imdb,rotten_tomatoes
0,The Wire,2002,18+,9.3,94%
1,The Sopranos,1999,18+,9.2,92%
2,Band of Brothers,2001,18+,9.4,94%
3,Vikings,2013,18+,8.6,93%
4,House,2004,16+,8.7,90%
5,Mr. Robot,2015,18+,8.5,94%
6,Parks and Recreation,2009,16+,8.6,93%
7,The Boys,2019,18+,8.7,84%
8,Suits,2011,16+,8.5,90%
9,The Expanse,2015,16+,8.5,93%
10,Fleabag,2016,18+,8.7,100%
11,Curb Your Enthusiasm,2000,18+,8.7,92%
12,The Marvelous Mrs. Maisel,2017,18+,8.7,89%
13,Rome,2005,18+,8.7,86%
14,Boardwalk Empire,2010,18+,8.5,92%
15,Hannibal,2013,18+,8.5,92%
16,Pride and Prejudice,1995,all,8.9,88%
17,Bosch,2014,18+,8.4,97%
18,The Americans,2013,18+,8.4,96%
19,Six Feet Under,2001,18+,8.7,81%
20,Luther,2010,16+,8.5,88%
21,Orphan Black,2013,18+,8.3,93%
22,Star Trek: The Next Generation,1987,7+,8.6,89%
23,Mr. Bean,1990,all,8.5,100%
24,Chuck,2007,7+,8.2,89%
25,Psych,2006,7+,8.3,89%
26,Veep,2012,18+,8.3,93%
27,30 Rock,2006,16+,8.2,85%
28,Deadwood,2004,18+,8.6,92%
29,The Man in the High Castle,2015,18+,8.0,84%
30,The Good Wife,2009,16+,8.3,94%
31,Schitt's Creek,2015,16+,8.4,50%
32,True Blood,2008,18+,7.8,70%
33,Tom Clancy's Jack Ryan,2018,18+,8.1,71%
34,Oz,1997,18+,8.7,89%
35,Banshee,2013,18+,8.4,89%
36,Black Books,2000,7+,8.5,100%
37,Bones,2005,16+,7.8,90%
38,The Pacific,2010,18+,8.3,91%
39,Good Omens,2019,7+,8.1,84%
40,Grimm,2011,16+,7.8,89%
41,Burn Notice,2007,7+,7.9,88%
42,Teen Wolf,2011,16+,7.6,81%
43,The Night Manager,2016,16+,8.1,91%
44,American Horror Story,2011,18+,8.0,N/A
45,The Fall,2013,18+,8.2,84%
46,The Newsroom,2012,16+,8.6,59%
47,The Grand Tour,2016,16+,8.7,66%
48,Star Trek,1966,7+,8.3,80%
49,Counterpart,2017,18+,8.1,100%
50,Californication,2007,18+,8.3,57%
51,RuPaul's Drag Race,2009,16+,8.5,83%
52,Flight of the Conchords,2007,16+,8.5,94%
53,Entourage,2004,16+,8.4,66%
54,Peep show,2003,18+,8.6,96%
55,Sneaky Pete,2015,18+,8.2,96%
56,Downton Abbey,2010,16+,8.7,N/A
57,Homecoming,2018,16+,7.5,98%
58,Blue Bloods,2010,16+,7.5,91%
59,Star Trek: Deep Space Nine,1993,7+,7.9,90%
60,Humans,2015,16+,8.0,94%
61,Mushi-Shi,2005,16+,8.5,100%
62,Undone,2019,18+,8.2,100%
63,Generation Kill,2008,18+,8.5,86%
64,The Thick of It,2005,18+,8.7,85%
65,Monk,2002,7+,7.9,90%
66,Farscape,1999,16+,8.2,90%
67,Eastbound & Down,2009,18+,8.2,91%
68,Father Ted,1995,16+,8.6,93%
69,The Missing,2014,16+,8.2,93%
70,Carnival Row,2019,18+,7.9,57%
71,Upload,2020,N/A,8.2,81%
72,Workaholics,2011,18+,8.1,86%
73,Dead Like Me,2003,16+,8.1,87%
74,Law & Order: Special Victims Unit,1999,16+,8.0,N/A
75,Stargate SG-1,1997,7+,8.4,N/A
76,Elfen Lied,2004,18+,8.0,100%
77,Extras,2005,16+,8.3,89%
78,Goliath,2016,16+,8.2,82%
79,The Mentalist,2008,16+,8.1,N/A
80,Poldark,2015,16+,8.3,87%
81,Catastrophe,2015,18+,8.2,98%
82,Star Trek: Voyager,1995,7+,7.8,77%
83,John Adams,2008,16+,8.5,81%
84,Girls,2012,18+,7.3,89%
85,Victoria,2016,16+,8.2,87%
86,Sex and the City,1998,18+,7.1,71%
87,Tales from the Loop,2020,16+,7.5,68%
88,River,2015,7+,8.0,100%
89,The Lost Room,2006,7+,8.2,77%
90,Awkward.,2011,16+,7.5,78%
91,Chicago P.D.,2014,16+,8.1,N/A
92,Escape at Dannemora,2018,18+,8.0,89%
93,Merlin,2008,7+,7.9,N/A
94,Modern Love,2019,18+,8.0,75%
