show,year,rating,imdb,rotten_tomatoes
0,Breaking Bad,2008,18+,9.5,96%
1,Stranger Things,2016,16+,8.8,93%
2,Money Heist,2017,18+,8.4,91%
3,Sherlock,2010,16+,9.1,78%
4,Better Call Saul,2015,18+,8.7,97%
5,The Office,2005,16+,8.9,81%
6,Black Mirror,2011,18+,8.8,83%
7,The Walking Dead,2010,18+,8.2,81%
8,Peaky Blinders,2013,18+,8.8,92%
9,Ozark,2017,18+,8.4,81%
10,Supernatural,2005,16+,8.4,94%
11,Community,2009,7+,8.5,88%
12,Dark,2017,16+,8.7,94%
13,Attack on Titan,2013,16+,8.8,94%
14,Narcos,2015,18+,8.8,89%
15,Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%
16,Dexter,2006,18+,8.6,72%
17,Parks and Recreation,2009,16+,8.6,93%
18,Marvel's Daredevil,2015,18+,8.6,92%
19,Mindhunter,2017,18+,8.6,96%
20,The Witcher,2019,18+,8.3,67%
21,Twin Peaks,1990,18+,8.8,89%
22,Shameless,2011,18+,8.6,85%
23,House of Cards,2013,18+,8.7,78%
24,Outlander,2014,18+,8.4,91%
25,One-Punch Man,2015,16+,8.8,100%
26,The Good Place,2016,16+,8.2,97%
27,The Haunting,2018,18+,8.7,93%
28,The Blacklist,2013,16+,8.0,91%
29,Mad Men,2007,16+,8.6,94%
30,Lucifer,2016,16+,8.2,87%
31,The Flash,2014,7+,7.7,89%
32,Arrested Development,2003,16+,8.7,75%
33,Grey's Anatomy,2005,16+,7.6,83%
34,The Crown,2016,18+,8.7,89%
35,The End of the F***ing World,2017,18+,8.1,93%
36,Orange Is the New Black,2013,18+,8.1,90%
37,The Vampire Diaries,2009,7+,7.7,85%
38,When They See Us,2019,18+,8.9,96%
39,Elite,2018,18+,7.6,97%
40,The 100,2014,16+,7.7,92%
41,Unorthodox,2020,18+,8.1,94%
42,"Tiger King: Murder, Mayhem and Madness",2020,18+,7.8,86%
43,The Last Kingdom,2015,18+,8.4,91%
44,How to Get Away with Murder,2014,16+,8.1,90%
45,Penny Dreadful,2014,18+,8.2,91%
46,BoJack Horseman,2014,18+,8.7,93%
47,Sense8,2015,18+,8.3,86%
48,Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,94%
49,Sacred Games,2018,18+,8.7,92%
50,American Crime Story,2016,18+,8.4,93%
51,Arrow,2012,16+,7.6,85%
52,The IT Crowd,2006,16+,8.5,87%
53,The Twilight Zone,1959,7+,9.0,82%
54,Family Guy,1999,18+,8.1,71%
55,Unbelievable,2019,18+,8.4,97%
56,Pretty Little Liars,2010,16+,7.4,81%
57,YOU,2018,18+,7.8,91%
58,Broadchurch,2013,18+,8.4,92%
59,Sex Education,2019,16+,8.3,94%
60,After Life,2019,18+,8.5,70%
61,Star Trek: The Next Generation,1987,7+,8.6,89%
62,Altered Carbon,2018,18+,8.1,64%
63,Kingdom,2019,18+,8.4,96%
64,The Sinner,2017,16+,8.0,95%
65,Marvel's Jessica Jones,2015,18+,8.0,83%
66,New Girl,2011,16+,7.7,94%
67,"Love, Death & Robots",2019,18+,8.5,78%
68,The Umbrella Academy,2019,16+,7.9,77%
69,The Good Wife,2009,16+,8.3,94%
70,Schitt's Creek,2015,16+,8.4,50%
71,Marvel's The Punisher,2017,18+,8.5,63%
72,Ash vs Evil Dead,2015,18+,8.4,99%
73,Master of None,2015,18+,8.3,100%
74,Atypical,2017,18+,8.3,87%
75,Narcos: Mexico,2018,18+,8.4,87%
76,Bates Motel,2013,18+,8.2,93%
77,Castlevania,2017,18+,8.2,93%
78,Once Upon a Time,2011,7+,7.7,80%
79,Making a Murderer,2015,16+,8.6,84%
80,Bodyguard,2018,18+,8.1,93%
81,The West Wing,1999,16+,8.8,75%
82,Gomorrah,2014,18+,8.7,94%
83,Death Note,2006,18+,9.0,N/A
84,Our Planet,2019,7+,9.3,93%
85,Russian Doll,2019,18+,7.9,96%
86,Burn Notice,2007,7+,7.9,88%
87,Never Have I Ever,2020,16+,8.1,97%
88,Big Mouth,2017,18+,8.0,100%
89,Gotham,2014,16+,7.8,77%
90,Doctor Foster,2015,16+,7.7,85%
91,American Horror Story,2011,18+,8.0,N/A
92,Riverdale,2017,16+,7.0,86%
93,Fauda,2015,16+,8.3,100%
94,I Am Not Okay with This,2020,18+,7.6,85%
95,Locked Up,2015,16+,8.3,100%
96,The OA,2016,16+,7.9,84%
97,Dead to Me,2019,18+,8.1,87%
98,The Vietnam War,2017,18+,9.1,98%
99,Star Trek,1966,7+,8.3,80%
100,Criminal Minds,2005,16+,8.1,N/A
101,Gilmore Girls,2000,16+,8.1,85%
102,Neon Genesis Evangelion,1995,16+,8.5,100%
103,Good Girls,2018,16+,7.9,87%
104,Chilling Adventures of Sabrina,2018,16+,7.6,84%
105,Jane the Virgin,2014,7+,7.8,100%
106,A Series of Unfortunate Events,2017,7+,7.8,96%
107,iZombie,2015,16+,7.9,91%
108,Monty Python's Flying Circus,1969,16+,8.8,100%
109,NCIS,2003,16+,7.8,40%
