show,year,rating,imdb,rotten_tomatoes
0,Rick and Morty,2013,18+,9.2,94%
1,Fargo,2014,18+,8.9,96%
2,Vikings,2013,18+,8.5,93%
3,Brooklyn Nine-Nine,2013,16+,8.4,97%
4,Attack on Titan,2013,16+,8.8,94%
5,Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%
6,Community,2009,7+,8.5,88%
7,The Simpsons,1989,7+,8.7,85%
8,Parks and Recreation,2009,16+,8.6,93%
9,Lost,2004,16+,8.3,85%
10,Modern Family,2009,16+,8.4,86%
11,Prison Break,2005,16+,8.3,60%
12,Firefly,2002,16+,9.0,85%
13,Seinfeld,1989,7+,8.8,88%
14,Twin Peaks,1990,18+,8.8,89%
15,Killing Eve,2018,16+,8.3,91%
16,One-Punch Man,2015,16+,8.8,100%
17,It's Always Sunny in Philadelphia,2005,18+,8.8,96%
18,The Good Place,2016,16+,8.2,97%
19,How I Met Your Mother,2005,16+,8.3,83%
20,South Park,1997,18+,8.7,81%
21,Futurama,1999,16+,8.4,95%
22,The Handmaid's Tale,2017,18+,8.5,88%
23,Sons of Anarchy,2008,18+,8.6,87%
24,Grey's Anatomy,2005,16+,7.6,83%
25,Arrested Development,2003,16+,8.7,75%
26,Gravity Falls,2012,7+,8.9,100%
27,Archer,2009,18+,8.6,91%
28,How to Get Away with Murder,2014,16+,8.1,88%
29,This Is Us,2016,16+,8.7,92%
30,What We Do in the Shadows,2019,18+,8.4,97%
31,Pride and Prejudice,1995,all,8.9,88%
32,Justified,2010,18+,8.6,97%
33,The X-Files,1993,16+,8.6,75%
34,Scrubs,2001,7+,8.3,83%
35,Family Guy,1999,18+,8.1,71%
36,Pretty Little Liars,2010,16+,7.4,81%
37,My Hero Academia,2016,16+,8.5,100%
38,Adventure Time,2010,7+,8.6,100%
39,The Twilight Zone,1959,7+,9.0,82%
40,24,2001,16+,8.3,86%
41,Star Trek: The Next Generation,1987,7+,8.6,89%
42,White Collar,2009,16+,8.2,96%
43,Friday Night Lights,2006,7+,8.7,97%
44,Legion,2017,16+,8.3,91%
45,Mr. Bean,1990,all,8.5,100%
46,Buffy the Vampire Slayer,1997,7+,8.2,82%
47,Bob's Burgers,2011,16+,8.1,91%
48,Elementary,2012,16+,7.9,95%
49,30 Rock,2006,16+,8.2,85%
0,Taboo,2017,16+,8.4,76%
1,Atlanta,2016,18+,8.6,97%
2,The Good Wife,2009,16+,8.3,94%
3,The Shield,2002,18+,8.7,90%
4,The Office,2001,16+,8.5,96%
5,Black Books,2000,7+,8.5,100%
6,Naruto Shippūden,2007,7+,8.6,N/A
7,Death Note,2006,18+,9.0,N/A
8,Burn Notice,2007,7+,7.9,88%
9,Misfits,2009,18+,8.2,92%
10,Veronica Mars,2004,16+,8.3,92%
11,9-1-1,2018,16+,7.7,81%
12,11.22.63,2016,18+,8.2,80%
13,Frasier,1993,7+,8.0,94%
14,Normal People,2020,N/A,8.8,83%
15,Bones,2005,16+,7.8,90%
16,American Horror Story,2011,18+,8.0,N/A
17,Line of Duty,2012,18+,8.6,97%
18,Star Trek,1966,7+,8.3,80%
19,Steins;Gate,2011,16+,8.8,100%
20,The Orville,2017,16+,8.0,65%
21,Good Girls,2018,16+,7.9,87%
22,Preacher,2016,18+,8.0,87%
23,The Killing,2011,18+,8.2,69%
24,The Good Doctor,2017,16+,8.2,N/A
25,Desperate Housewives,2004,7+,7.4,72%
26,Peep show,2003,18+,8.6,96%
27,RuPaul's Drag Race,2009,16+,8.5,83%
28,Battlestar Galactica,2004,16+,8.6,82%
29,Superstore,2015,16+,7.8,92%
30,Revenge,2011,16+,7.8,69%
31,Lie to Me,2009,16+,8.0,78%
32,Over the Garden Wall,2014,7+,8.8,88%
33,Devs,2020,18+,7.8,81%
34,Spaced,1999,18+,8.6,100%
35,Blue Bloods,2010,16+,7.5,91%
36,12 Monkeys,2015,16+,7.7,88%
37,Tokyo Ghoul,2014,18+,7.9,100%
38,One Piece,1999,7+,8.7,N/A
39,Mushi-Shi,2005,16+,8.5,100%
40,Star Trek: Deep Space Nine,1993,7+,7.9,90%
41,The Rookie,2018,16+,8.1,68%
42,Hunter x Hunter,2011,16+,8.9,N/A
43,Naruto,2002,7+,8.3,N/A
44,DAVE,2020,18+,8.4,62%
45,Smallville,2001,7+,7.4,78%
46,Dirk Gently's Holistic Detective Agency,2016,16+,8.3,85%
47,Younger,2015,16+,7.8,99%
48,Broad City,2014,18+,8.4,99%
49,Workaholics,2011,18+,8.1,86%
0,Dead Like Me,2003,16+,8.1,87%
1,Law & Order: Special Victims Unit,1999,16+,8.0,N/A
2,Food Wars! Shokugeki no Soma,2015,18+,8.3,N/A
3,Nathan For You,2013,16+,8.8,97%
4,Angel,1999,7+,7.9,88%
5,Castle Rock,2018,18+,7.6,87%
6,Mystery Science Theater 3000,1988,7+,8.5,80%
7,Timeless,2016,7+,7.7,91%
8,The Last Ship,2014,16+,7.5,83%
9,You're the Worst,2014,18+,8.1,95%
10,The Affair,2014,18+,7.9,86%
11,Stargate SG-1,1997,7+,8.4,N/A
12,Elfen Lied,2004,18+,8.0,100%
13,Cowboy Bebop,1998,18+,8.9,N/A
14,Fresh Off the Boat,2015,7+,7.8,94%
15,Everybody Hates Chris,2005,7+,7.4,95%
16,Raising Hope,2010,16+,8.0,96%
17,The Terror,2018,18+,8.0,87%
18,Boston Legal,2004,16+,8.4,86%
19,Future Man,2017,18+,7.8,91%
20,Star Trek: Voyager,1995,7+,7.8,77%
21,Inside No. 9,2014,18+,8.5,100%
22,The League,2009,18+,8.2,81%
23,The Strain,2014,18+,7.3,79%
24,The Venture Bros.,2004,18+,8.5,92%
25,Samurai Champloo,2004,18+,8.5,88%
26,Parenthood,2010,7+,8.2,88%
27,Zoey's Extraordinary Playlist,2020,16+,8.1,74%
28,My Name Is Earl,2005,16+,7.7,82%
29,Mrs. America,2020,18+,7.5,96%
30,Dollhouse,2009,16+,7.7,72%
31,Little Fires Everywhere,2020,18+,7.7,77%
32,Dragon Ball,1986,16+,8.5,N/A
33,Marvel's Runaways,2017,16+,7.0,87%
34,Please Like Me,2013,18+,8.5,100%
35,The Act,2019,18+,8.0,89%
36,Southland,2009,16+,8.4,87%
37,Bleach,2004,18+,8.1,N/A
38,Demon Slayer: Kimetsu no Yaiba,2019,18+,8.8,N/A
39,Damages,2007,18+,8.1,91%
40,Better Things,2016,7+,7.7,97%
41,Looking for Alaska,2019,18+,8.1,92%
42,Brockmire,2017,18+,8.1,98%
43,Legend of the Seeker,2008,16+,7.6,42%
44,Awkward.,2011,16+,7.5,78%
45,Fear the Walking Dead,2015,18+,6.9,73%
46,The Exorcist,2016,16+,8.1,89%
47,Happy Endings,2011,16+,7.7,78%
48,High Fidelity,2020,18+,7.6,85%
49,American Dad!,2005,16+,7.3,N/A
0,Haikyu!!,2014,16+,8.7,N/A
